"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.327 0.398 0.38 0.303 0.052 0.074 0.291 0.089 199 157 1231383
0.401 0.434 0.421 0.381 0 0.052 0.161 0.333 156 217 1231384
0.4 0.437 0.394 0.34 0.038 0.063 0.191 0.233 161 267 1231385
0.403 0.445 0.405 0.308 0.023 0.119 0.134 0.297 229 363 1231386
0.4 0.441 0.394 0.277 0.01 0.13 0.082 0.295 174 433 1231387
0.399 0.433 0.431 0.427 0.154 -0.011 0.354 0.298 148 80 1231388
0.409 0.464 0.419 0.21 0 0.199 0.064 0.356 89 347 1231389
0.413 0.468 0.419 0.174 0.014 0.214 0.112 0.313 96 378 1231390
0.416 0.475 0.425 0.172 0 0.25 0.086 0.333 150 490 1231391
0.407 0.472 0.429 0.108 0.025 0.322 0.036 0.396 85 591 1231392
0.406 0.459 0.45 0.233 0.026 0.188 0.085 0.335 107 280 1231393
0.515 0.537 0.535 0.533 0.46 0.002 0.382 0.19 27 8 1231394
0.515 0.536 0.527 0.526 0.479 0.002 0.231 0.256 27 8 1231395
0.512 0.534 0.524 0.509 0.437 0.028 0.295 0.164 33 18 1231396
0.512 0.537 0.533 0.532 0.431 0.004 0.307 0.203 42 14 1231397
0.507 0.53 0.528 0.51 0.068 -0.006 0.319 0.169 21 7 1231398
0.474 0.52 0.513 0.507 0.383 0.003 0.308 0.358 36 17 1231399
0.484 0.527 0.502 0.502 0.15 0.003 0.273 0.337 35 13 1231400
0.487 0.525 0.519 0.513 0.344 0.008 0.282 0.416 34 25 1231401
0.484 0.532 0.525 0.517 0.442 0.012 0.092 0.515 36 25 1231402
0.472 0.519 0.511 0.502 0.38 0.009 0.123 0.401 25 7 1231403
0.473 0.516 0.508 0.503 0.347 0.005 0.084 0.376 27 14 1231404
0.476 0.52 0.499 0.494 0.343 0.011 0.077 0.422 26 23 1231405
0.488 0.526 0.514 0.515 0.405 -0.002 0.377 0.399 35 25 1231406
0.482 0.53 0.523 0.516 0.359 0.016 0.087 0.447 36 33 1231407
0.476 0.522 0.519 0.518 0.362 0.005 0.098 0.4 18 10 1231408
0.511 0.603 0.594 0.444 0.369 0.068 0.459 0.259 34 36 1231409
0.506 0.592 0.528 0.393 0.274 0.089 0.157 0.202 27 42 1231410
0.507 0.603 0.516 0.347 0.408 0.149 0.312 0.226 42 43 1231411
0.504 0.604 0.584 0.449 0.531 0.081 0.282 0.315 54 42 1231412
0.508 0.601 0.585 0.431 0.126 0.113 0.227 0.138 34 34 1231413
0.572 0.628 0.597 0.585 0.362 0.008 0.178 0.348 41 21 1231414
0.571 0.627 0.611 0.599 0.385 0.016 0.22 0.363 45 22 1231415
